行数	预测值			真实值
1	140130			张艺兴
1	{'140130', '长沙', 'exo'}		{'exo', '张艺兴'}
2	20140118			李敏
2	{'20140118', '李敏', '镐'}		{'镐', '李敏'}
3	姐妹			陈学冬
3	{'茜茜', '姐妹', '杂志'}		{'陈学冬'}
4	砍			王
4	{'砍', '有没有', '不在乎'}		{'王', '就医', '牧笛'}
5	大家			谢雨欣
5	{'有木有', '大家', '觉得'}		{'谢雨欣', '女儿'}
6	亲亲			全智贤
6	{'排队', '身份证', '亲亲'}		{'见面会', '全智贤', '粉丝'}
7	最后			庚澈
7	{'以为', '一次', '最后'}		{'庚澈'}
8	专辑			winner
8	{'2014ss', '出道', '专辑'}		{'winner'}
9	前女友			前女友
9	{'女人', '所有', '前女友'}		{'的', '前女友', '诱惑'}
10	张翰			张翰
10	{'中国', '内地', '张翰'}		{'张翰'}
11	璐			甜心
11	{'甜馨', '宝贝', '璐'}		{'小逗', '甜心', '比'}
12	今晚			笑傲江湖
12	{'今晚', '卫视', '东方'}		{'笑傲江湖'}
13	中方			马航
13	{'中方', '监听', '两次'}		{'马航', '失事', '飞机'}
14	女			女王
14	{'驾到', '王之王', '女'}		{'女王', '之夜'}
15	仲春			米歇尔
15	{'的', '时节', '仲春'}		{'米歇尔', '访华'}
16	事情			姚笛
16	{'事情', '的', '想'}		{'滚', '姚笛', '出'}
17	没有			小彩旗
17	{'骂人', '没有', '道歉'}		{'向', '小彩旗', '请'}
18	爱奇艺			爱奇艺
18	{'爱奇艺', '看', '不朽'}		{'爱奇艺', '红包', '让'}
19	大家			美拍
19	{'姐姐', '大', '大家'}		{'美拍'}
20	去年			mh370
20	{'本报记者', '六月', '去年'}		{'失联', 'mh370', '直播'}
21	20140419			张艺兴
21	{'音乐', '20140419', '风云榜'}		{'张艺兴'}
22	看看			美拍
22	{'拍', '的', '看看'}		{'美拍'}
23	好奇			crayonpop
23	{'下', '看', '好奇'}		{'滚出', 'crayonpop', '娱乐圈'}
24	希望			mh370
24	{'希望', '都敏俊', 'xi'}		{'mh370', '寻人'}
25	真心			贝儿
25	{'真心', '曼萱', '觉得'}		{'贝儿', 'feynman'}
26	20130614062306260628			吴亦凡
26	{'20130614062306260628', '盛夏', '吴亦凡'}		{'吴亦凡'}
27	花花			花儿与少年
27	{'同床', '别人', '花花'}		{'花儿与少年'}
28	小			李敏镐
28	{'小', '细节', '采访'}		{'李敏镐'}
29	提供			东星
29	{'属实', '证据', '提供'}		{'集团', '兰世立', '东星'}
30	壮阔			爸爸
30	{'的', '大海', '壮阔'}		{'了', '爸爸', '回来'}
31	说			李娜
31	{'都', '人', '说'}		{'李娜'}
32	心情			舌尖上的中国
32	{'低落', '心情', '超'}		{'舌尖上的中国', '第二季'}
33	140614			朴有天
33	{'明天', '朴有天', '140614'}		{'朴有天'}
34	今年			奥斯卡
34	{'的', '表演奖', '今年'}		{'奥斯卡'}
35	教			大胡子
35	{'游泳', '教', '女孩子'}		{'女孩', '大胡子'}
36	年初			东莞
36	{'才', '刚刚开始', '年初'}		{'东莞', '挺住'}
37	喜欢			爸爸去哪儿
37	{'古灵精怪', '贝儿', '喜欢'}		{'爸爸去哪儿'}
38	烤鸭			四六级
38	{'小', '奈何', '烤鸭'}		{'成绩', '四六级'}
39	烂货			黄海波
39	{'烂货', '上', '波'}		{'嫖娼', '黄海波', '被'}
40	老妖			音频
40	{'为啥', '老妖', '多帅照'}		{'怪物', '音频'}
41	血缘关系			利特
41	{'没有', '觉得', '血缘关系'}		{'利特', '加油'}
42	rm			宋智孝
42	{'里', '的', 'rm'}		{'0815', '生日快乐', '宋智孝'}
43	几十年			新闻联播
43	{'几十年', '不', '做'}		{'新闻联播'}
44	捧杯			李娜
44	{'捧杯', '准备', '画'}		{'澳网', '冲冠', '李娜'}
45	学习			朴春
45	{'家世', '好身材', '学习'}		{'朴春', '加油'}
46	gif			唐嫣
46	{'心动', '一剑', 'gif'}		{'唐嫣'}
47	本来			武松
47	{'艺术', '一座', '本来'}		{'武松', '杀嫂'}
48	打开			为
48	{'打开', '微博', '看到'}		{'中考', '为', '王俊凯'}
49	央视			马航
49	{'称', '央视', '新闻报道'}		{'马航', '失联', '客机'}
50	路			祝何
50	{'路', '版权', '人'}		{'老师', '祝何', '生日快乐'}
51	刷			霍建华
51	{'刷', '的', '话题'}		{'胡歌', '公布', '霍建华'}
52	近			棒子
52	{'期', '7', '近'}		{'导演', '滚', '棒子'}
53	看看			美拍
53	{'拍', 'mv', '看看'}		{'美拍'}
54	是不是			黄子韬
54	{'小伙伴', '是不是', '很多'}		{'黄子韬'}
55	张震			绣春刀
55	{'王千源', '张震', '刘诗诗'}		{'来袭', '绣春刀', '87'}
56	来自			中国好舞蹈
56	{'中国台湾', '的', '来自'}		{'中国好舞蹈'}
57	笑笑			微视
57	{'笔笔', '笑笑', '看见'}		{'微视', '本来', '就'}
58	感觉			张俪
58	{'的', '演', '感觉'}		{'王阳明', '张俪', '在'}
59	源源			为
59	{'源源', '千千', '都'}		{'中考', '为', '王俊凯'}
60	今天			李敏镐
60	{'的', '刷屏', '今天'}		{'来莞', '李敏镐'}
61	2			每日
61	{'5', '2', '月'}		{'早', '票房', '每日'}
62	表哥			江苏
62	{'俩', '表妹', '表哥'}		{'金玉良缘', '卫视', '江苏'}
63	话题			亚洲
63	{'很', '话题', '变态'}		{'明星', '亚洲', '最丑'}
64	话题			男神
64	{'top6', '榜', '话题'}		{'男神', '笑', '终于'}
65	常规赛			我是歌手
65	{'常规赛', '事', '过半'}		{'我是歌手'}
66	看着			李钟硕
66	{'看着', '别人', '李钟硕'}		{'李钟硕', '金宇彬', '在'}
67	国防			马航
67	{'科工', '国防', '局'}		{'马航', '失联', '飞机'}
68	看小			爸爸
68	{'看小', '甜心', '爸爸'}		{'了', '爸爸', '回来'}
69	本来			张翰
69	{'一件', '放假', '本来'}		{'郑爽', '好好', '张翰'}
70	机师			吴镇宇
70	{'机师', 'look'}		{'吴镇宇'}
71	李代沫			直通
71	{'的', '李代沫', 'demon'}		{'直通', '春晚'}
72	周杰伦			周杰伦
72	{'周杰伦', '天伦', '魔'}		{'上海', '周杰伦', '演唱会'}
73	今晚			张力尹
73	{'点', '今晚', '21'}		{'张力尹', '不朽', '之'}
74	一条			牛奶
74	{'的', '一条', '自信'}		{'牛奶', '香蕉'}
75	当年			克里米亚
75	{'独立', '科索沃', '当年'}		{'公投', '克里米亚'}
76	找			祈福
76	{'找', '理由', '别扯'}		{'祈福', '昆明'}
77	今天			爸爸去哪儿
77	{'大年初一', '今天', '诸事'}		{'爸爸去哪儿', '大', '电影'}
78	录制			拒绝
78	{'出', '录制', '当天'}		{'谢娜', '拒绝', '拿'}
79	mh370			马航
79	{'结论', '的', 'mh370'}		{'马航', '失事', '飞机'}
80	回忆			新
80	{'温暖', '回忆', '新鲜'}		{'的', '梁博', '新'}
81	艺兴			张艺兴
81	{'真的', '艺兴', '的士'}		{'张艺兴'}
82	庆祝			金曲
