行数	预测值			真实值
1	行星			张艺兴
1	{'行星', '张艺兴', '安全'}		{'张艺兴', 'exo'}
2	这张			李敏
2	{'这张', 'globaltourinseoulencoretour', '单放'}		{'镐', '李敏'}
3	姐妹			陈学冬
3	{'ceci', '姐妹', '陈学冬'}		{'陈学冬'}
4	砍			王
4	{'故意', '砍', '扎四针'}		{'牧笛', '王', '就医'}
5	谢雨欣			谢雨欣
5	{'女儿', '谢雨欣', '岁'}		{'女儿', '谢雨欣'}
6	见面会			全智贤
6	{'领完', '领票', '见面会'}		{'粉丝', '见面会', '全智贤'}
7	笨瓜			庚澈
7	{'笨瓜', '推延', '炒饭'}		{'庚澈'}
8	专辑			winner
8	{'公开', '专辑', 'ygfamily'}		{'winner'}
9	天敌			前女友
9	{'天敌', '前女友', '女人'}		{'诱惑', '前女友', '的'}
10	隋唐演义			张翰
10	{'堡定', '隋唐演义', '翰在'}		{'张翰'}
11	璐			甜心
11	{'远点', '动态图', '璐'}		{'小逗', '甜心', '比'}
12	丹丹			笑傲江湖
12	{'丹丹', '推销', '老伴'}		{'笑傲江湖'}
13	中方			马航
13	{'信号', '中方', '疑似'}		{'马航', '失事', '飞机'}
14	伊能静			女王
14	{'伊能静', '身兼多职', '自导自演'}		{'女王', '之夜'}
15	黄瓦			米歇尔
15	{'黄瓦', '春意盎然', '明艳'}		{'米歇尔', '访华'}
16	一对一			姚笛
16	{'法定', '暴露', '一对一'}		{'姚笛', '出', '滚'}
17	有个度			小彩旗
17	{'骂人', '有个度', '图不说'}		{'向', '请', '小彩旗'}
18	苏芮信			爱奇艺
18	{'赤脚', '嘶吼', '苏芮信'}		{'让', '爱奇艺', '红包'}
19	two			美拍
19	{'two', '姐姐', '爸爸'}		{'美拍'}
20	传统			mh370
20	{'传统', '鸡肉饭', '370'}		{'失联', 'mh370', '直播'}
21	1815			张艺兴
21	{'风云榜', '20140419', '1815'}		{'张艺兴'}
22	黑影			美拍
22	{'黑影', '嗖', '坨'}		{'美拍'}
23	百科			crayonpop
23	{'心情舒畅', '填', '百科'}		{'crayonpop', '滚出', '娱乐圈'}
24	xi			mh370
24	{'路', '都敏俊', 'xi'}		{'mh370', '寻人'}
25	跳			贝儿
25	{'五禽戏', '搬运工', '跳'}		{'feynman', '贝儿'}
26	20130614062306260628			吴亦凡
26	{'20130614062306260628', '一年', '盛夏'}		{'吴亦凡'}
27	同床			花儿与少年
27	{'同床', '花花', '惊天地'}		{'花儿与少年'}
28	背背			李敏镐
28	{'背背', '扶正', '人问'}		{'李敏镐'}
29	湖北省			东星
29	{'服务厅', '湖北日报', '湖北省'}		{'东星', '兰世立', '集团'}
30	风来			爸爸
30	{'风来', '没转', '显清透'}		{'回来', '了', '爸爸'}
31	卦			李娜
31	{'易经', '伪君子', '卦'}		{'李娜'}
32	舌尖			舌尖上的中国
32	{'舌尖', '深印', '腼比'}		{'舌尖上的中国', '第二季'}
33	发不发			朴有天
33	{'发不发', '最起码', '捞'}		{'朴有天'}
34	怨夫们			奥斯卡
34	{'怨夫们', '表演奖', '怨妇'}		{'奥斯卡'}
35	老妹			大胡子
35	{'豌豆', '娇气', '老妹'}		{'女孩', '大胡子'}
36	即来			东莞
36	{'失业', '随之', '即来'}		{'挺住', '东莞'}
37	儿小			爸爸去哪儿
37	{'乐天派', '京腔', '儿小'}		{'爸爸去哪儿'}
38	烤鸭			四六级
38	{'奈何', '烤鸭', '大二'}		{'成绩', '四六级'}
39	烂货			黄海波
39	{'上', '波', '烂货'}		{'嫖娼', '黄海波', '被'}
40	多帅照			音频
40	{'多帅照', '蠢', '老妖'}		{'音频', '怪物'}
41	血缘关系			利特
41	{'血缘关系', '像是', '利特'}		{'利特', '加油'}
42	组成			宋智孝
42	{'ace', '组成', '智孝懵智孝用'}		{'0815', '生日快乐', '宋智孝'}
43	洋洋得意			新闻联播
43	{'最高级别', '新闻节目', '洋洋得意'}		{'新闻联播'}
44	捧杯			李娜
44	{'画', '捧杯', '准备'}		{'李娜', '冲冠', '澳网'}
45	全删			朴春
45	{'人带', '不演', '全删'}		{'朴春', '加油'}
46	心动			唐嫣
46	{'香龙女', '心动', '飞仙'}		{'唐嫣'}
47	编们			武松
47	{'性生活', '马赛克', '编们'}		{'杀嫂', '武松'}
48	yesyoucan			为
48	{'yesyoucan', '最酷', '盛开'}		{'为', '中考', '王俊凯'}
49	乘客			马航
49	{'土耳其', '乘客', '该名'}		{'失联', '客机', '马航'}
50	怂			祝何
50	{'多么', '疯丫头', '怂'}		{'祝何', '生日快乐', '老师'}
51	退烧			霍建华
51	{'piao', '退烧', 'liang'}		{'胡歌', '霍建华', '公布'}
52	票能			棒子
52	{'票能', '卖点', '本年度'}		{'滚', '棒子', '导演'}
53	gary			美拍
53	{'gary', '曹格', '点此'}		{'美拍'}
54	韬			黄子韬
54	{'韬', '电台', '擅于'}		{'黄子韬'}
55	明末			绣春刀
55	{'拨开', '明末', '周一围'}		{'来袭', '87', '绣春刀'}
56	简瑞平			中国好舞蹈
56	{'简瑞平', '稳中有', '稳步'}		{'中国好舞蹈'}
57	笑笑			微视
57	{'笔笔', '微视', '笑笑'}		{'本来', '就', '微视'}
58	挺配			张俪
58	{'估计', '挺配', '演'}		{'在', '王阳明', '张俪'}
59	源源			为
59	{'好不好', '源源', '少女'}		{'为', '中考', '王俊凯'}
60	许留山			李敏镐
60	{'免费打', '许留山', '周大福'}		{'李敏镐', '来莞'}
61	万			每日
61	{'亿', '累计', '万'}		{'早', '每日', '票房'}
62	麒麟			江苏
62	{'冤案', '错怪', '麒麟'}		{'卫视', '金玉良缘', '江苏'}
63	肤浅			亚洲
63	{'他妈的', '变态', '肤浅'}		{'最丑', '亚洲', '明星'}
64	top6			男神
64	{'top6', '杀伤力', '太有'}		{'男神', '终于', '笑'}
65	常规赛			我是歌手
65	{'过半', '常规赛', '三次'}		{'我是歌手'}
66	时金宇彬			李钟硕
66	{'亲吻', '滋味', '时金宇彬'}		{'在', '李钟硕', '金宇彬'}
67	科工			马航
67	{'国防', '科工', '观测'}		{'失联', '马航', '飞机'}
68	攀爬			爸爸
68	{'攀爬', '搀扶', '萌汉纸'}		{'回来', '了', '爸爸'}
69	点换个			张翰
69	{'点换个', '放假', '消停'}		{'好好', '郑爽', '张翰'}
70	look			吴镇宇
70	{'look', '机师'}		{'吴镇宇'}
71	人品			直通
71	{'人品', '发完', '丫没'}		{'春晚', '直通'}
72	天伦			周杰伦
72	{'香槟金', '魔', '天伦'}		{'周杰伦', '演唱会', '上海'}
73	名曲			张力尹
73	{'不朽', '不见不散', '名曲'}		{'张力尹', '不朽', '之'}
74	海带			牛奶
74	{'海带', '你好', '茶叶蛋'}		{'牛奶', '香蕉'}
75	独立			克里米亚
75	{'独立', '克里米亚', '原则'}		{'公投', '克里米亚'}
76	稳少			祈福
76	{'扮公知', '提维', '稳少'}		{'祈福', '昆明'}
77	电影			爸爸去哪儿
77	{'电影', '爸爸去哪儿', '宜收'}		{'大', '电影', '爸爸去哪儿'}
78	名气			拒绝
78	{'好笑', '出', '名气'}		{'拿', '谢娜', '拒绝'}
79	非常			马航
79	{'技术性', '危害', '非常'}		{'马航', '失事', '飞机'}
80	新鲜			新
80	{'新鲜', '温暖', '回忆'}		{'的', '新', '梁博'}
81	的士			张艺兴
81	{'的士', '车', '艺兴'}		{'张艺兴'}
82	签名版			金曲
82	{'抽奖', '签名版', 'jj'}		{'歌王', '林俊杰', '金曲'}
83	羊子			马航
83	{'给养', '羊子', '疑犯'}		{'失联', '马航', '飞机'}
84	推理			马航
84	{'目前为止', '本次', '推理'}		{'马航', '失事', '飞机'}
85	王公子			王源
85	{'陌上', '无双', '王公子'}		{'王源'}
86	最美			张艺兴
86	{'里', '最美', '时光'}		{'张艺兴'}
87	迪卡			小
87	{'普里', '奥', '迪卡'}		{'小', '李不哭'}
88	准			陈思诚
88	{'准', '龙大', '陈思诚'}		{'陈思诚', '佟丽娅', '结婚'}
89	永结同心			思诚
89	{'疯爱', '永结同心', '思诚'}		{'丫丫', '疯爱', '思诚'}
90	二楼			郑秀晶
90	{'圈起来', '二楼', '经不起'}		{'郑秀晶'}
91	陈赫造			葫芦娃
91	{'陈赫造', '警长', '黑猫'}		{'葫芦娃', '拍', '电视剧'}
92	榜			时间煮雨
92	{'次数', '榜', '播放'}		{'吴亦凡', '时间煮雨'}
93	浅田能			索契
93	{'夺次', '战虐', '浅田能'}		{'冬奥会', '索契'}
94	转车			昆明
94	{'丽江', '转车', '三月份'}		{'昆明'}
95	赵丽颖大			杉杉
95	{'看吧', 'boss', '赵丽颖大'}		{'来', '杉杉', '了'}
96	行在			祈福
96	{'免', '债', '行在'}		{'祈福', '马航'}
97	抗敌			neinei
97	{'抗敌', '一招', '对爸'}		{'neinei', '回来', '爸爸'}
98	我娃			穆勒
98	{'我娃', '比赛', '国家队'}		{'哒', '棒棒', '穆勒'}
99	到极点			棒子
99	{'恶心', '一发', '到极点'}		{'滚', '棒子', '导演'}
100	文章			文章
100	{'八卦', '文章', '司令'}		{'开房', '姚笛', '文章'}
101	鱼塘			这个
101	{'承包', '原来', '鱼塘'}		{'被', '鱼塘', '这个'}
102	潮州			潮州
102	{'城君', '潮州', '少点'}		{'大劳热', '潮州'}
103	人民网			张嘉译
103	{'观点', '做人', '人民网'}		{'张嘉译'}
104	半死			尼坤
104	{'无数次', '维尼', '半死'}		{'恋爱', '尼坤', 'tiffany'}
105	分享			赵丽颖
105	{'分享', '相信'}		{'赵丽颖'}
106	甜甜			黄子韬
106	{'甜甜', '甜度', '满分'}		{'黄子韬'}
107	姜树			我是歌手
107	{'听罗琦至', '姜树', '开唱'}		{'我是歌手'}
108	四岁			李敏镐
108	{'四岁', '拉过', '拉'}		{'李敏镐', '生日快乐', '622'}
109	利器			陈一冰
109	{'外语', '利器', '嫁不出去'}		{'陈一冰', '结婚'}
110	逼到			花儿与少年
110	{'逼到', '豁然开朗', '呐有'}		{'花儿与少年'}
111	吓坏			来自星星的你
111	{'吓坏', '想家', '林志颖'}		{'来自星星的你'}
112	黍稷			林心如
112	{'难托', '黍稷', '鸿雁'}		{'生日快乐', '林心如', '0127'}
113	春卷			早安
113	{'习俗', '吃饺子', '春卷'}		{'早安'}
114	文艺			后会无期
114	{'文艺', '卖', '青年'}		{'后会无期'}
115	m			鹿晗
115	{'一闪', '鹿葛格', 'm'}		{'0420', '鹿晗', '生日快乐'}
116	由陆毅			人间
116	{'由陆毅', '日于', '讯'}		{'人间', '四月', '价值连城'}
117	yahoo7andagencies			马航
117	{'yahoo7andagencies', '疑为', '业主'}		{'被', '马航', 'mh17'}
118	张艺谋			大师
118	{'归来', '作品', '张艺谋'}		{'大师', '归来', '之众'}
119	野蛮			东莞
119	{'死刑', '废除', '野蛮'}		{'东莞', '丐帮'}
120	相伴			朴海镇
120	{'相伴', '点评', '来不及'}		{'朴海镇', '生日快乐', '0501'}
121	人间			人间
121	{'人间', '万联', '惠州市'}		{'人间', '团圆', '小'}
122	疲倦			王力宏
122	{'流浪', '终点', '疲倦'}		{'生日快乐', '王力宏', '517'}
123	荣升			沙漠
123	{'荣升', '好奇心', '多重'}		{'孙俪', '沙漠', '女尸'}
124	宝藏			夺宝奇兵
124	{'远古', '勇士', '宝藏'}		{'杨阳洋', '夺宝奇兵'}
125	总共			柯震东
125	{'豆瓣', '扒', '总共'}		{'房祖名', '吸毒', '柯震东'}
126	甘蔗			自贡
126	{'卖', '上戏', '甘蔗'}		{'西施', '甘蔗', '自贡'}
127	爱喝			首尔
127	{'娃', '爱喝', '神经'}		{'首尔', '大学', '女神'}
128	20090709			坑娃
128	{'20090709', '吴镇宇', '鲁豫有约'}		{'神爹', '吴镇宇', '坑娃'}
129	也许			郭采洁
129	{'冬天', '下个', '也许'}		{'郭采洁', '正', '能量'}
130	哄哄			爸爸去哪儿
130	{'哄哄', '上前', '惹人爱'}		{'爸爸去哪儿'}
131	洗困			一
131	{'嫩', '洗困', '出水'}		{'一', '二分之一', '又'}
132	素颜			最美
132	{'女神', '想到', '素颜'}		{'女神', '最美', '素颜'}
133	一百步			吴奇隆
133	{'小个', '一百步', '也许'}		{'刘诗诗', '幸福', '吴奇隆'}
134	西安			让
134	{'排片量', '前任攻略', '西安'}		{'前任攻略', '让', '排片'}
135	刷屏			马航
135	{'刷屏', '活着', '刷来'}		{'失联', '马航', '飞机'}
136	完全			萧敬腾
136	{'疯狂', '这玩太多', '完全'}		{'萧敬腾'}
137	疑似			马航
137	{'01', '海巡', '疑似'}		{'马航', '失事', '飞机'}
138	层次感			我是歌手
138	{'层次感', '别爱', '两首歌'}		{'我是歌手'}
139	雨雾			这个
139	{'雨雾', '禽流感', '血肠'}		{'有点', '杀手', '这个'}
140	豆丁			晶茜
140	{'窃窃私语', '豆丁', 'solovenet'}		{'晶茜'}
141	阿吊炸天			黄子韬
141	{'看过', '阿吊炸天', '空间'}		{'黄子韬'}
142	每周			宋智孝
142	{'runningman', '还好', '每周'}		{'0815', '生日快乐', '宋智孝'}
143	土炮			花样爷爷
143	{'土炮', '刘烨', '极'}		{'花样爷爷'}
144	安七炫			最强
144	{'superjunior815', '以沫', '安七炫'}		{'天团', '最强'}
145	夕阳			我
145	{'七夕', '夕阳', '遇见'}		{'会', '我', '不知'}
146	接龙			爸爸去哪儿
146	{'接龙', '接下去', '等不及'}		{'之夜', '爸爸去哪儿', '爸爸'}
147	亿			澳门
147	{'亿', '5', '票房'}		{'风云', '澳门'}
148	爸爸去哪儿			爸爸去哪儿
148	{'博艾特', '本微', '爸爸去哪儿'}		{'爸爸去哪儿'}
149	东莞			东莞
149	{'灾后', '东莞', '央视'}		{'挺住', '东莞'}
150	赞太			爸爸去哪儿
150	{'一万个', '赞太', '超级'}		{'大', '电影', '爸爸去哪儿'}
151	陆毅			守护
151	{'碎念版', '陆毅', '弹唱'}		{'健康成长', '贝儿', '守护'}
152	名归人			祈福
152	{'去伪存真', '名归人', '三十五分'}		{'祈福', '马航'}
153	火火			小苹果
153	{'火火', '小脸儿', '王大妈'}		{'小苹果'}
154	吸毒			柯震东
154	{'虎门销烟', '吸毒', '病夫'}		{'房祖名', '吸毒', '柯震东'}
155	crlogo			朴有天
155	{'看', 'crlogo'}		{'朴有天', '快乐大本营'}
156	黄章			带
156	{'200', '魅币', '黄章'}		{'带', '玩', '黄章'}
157	理工类			2014
157	{'理工类', '文史类', '二本'}		{'高考', '2014'}
158	onenight			onenight
158	{'onelife', 'onenight', '群星璀璨'}		{'onenight', '晚会', '公益'}
159	信号			马航
159	{'信号', '投入使用', '人工'}		{'马航', '失事', '飞机'}
160	1990			马航
160	{'这次', '1990', '发生'}		{'失联', '马航', '飞机'}
161	进组			霍建华
161	{'进组', '连续剧', '赵丽颖'}		{'微', '霍建华', '明星'}
162	120			房祖名
162	{'他供', '原', '120'}		{'房祖名', '吸毒', '被'}
163	生龙活虎			高凌风
163	{'生前', '打气', '生龙活虎'}		{'高凌风', '去世'}
164	cocoriin			张力尹
164	{'cocoriin', '尹', '更多力'}		{'张力尹'}
165	超多			金素妍
165	{'超多', '没人', '外人'}		{'金素妍'}
166	快艾特			叫兽
166	{'这货', '快艾特', '求放'}		{'叫兽', '假'}
167	恒远			恒远
167	{'恒远', '随者', '回家'}		{'祈福', '恒远', '恒星'}
168	俊秀			apo
168	{'俊秀', '喊', '真素够'}		{'apo', '直播', '金俊秀'}
169	金泰			汤唯
169	{'金泰', '勇', '汤唯'}		{'公布', '婚讯', '汤唯'}
170	疯转			李敏镐
170	{'疯转', '最帅', '1978'}		{'李敏镐', '新闻联播'}
171	这特码			抄
171	{'串词', 'lisa', '这特码'}		{'家伙', '抄', '灭'}
172	看吧			潮州
172	{'看吧', '照片', '的'}		{'大劳热', '潮州'}
173	十四年			前任攻略
173	{'输', '十四年', '好好看'}		{'前任攻略'}
174	内心			戚薇
174	{'缓冲期', '内心', '小七小铉'}		{'戚薇'}
175	拉链			春晚
175	{'找', '拉链', '激动人心'}		{'镜头', '春晚', '穿帮'}
176	穿越			马航
176	{'穿越', '祈福', '回来'}		{'失联', '马航', '班机'}
177	偷拍			周一
177	{'仔', '偷拍', '相机'}		{'见', '周一'}
178	427			张亮
178	{'427', '送机', '重庆'}		{'sean', '张亮'}
179	决赛			李娜
179	{'决赛', '拉波娃', '会师'}		{'李娜', '冲冠', '澳网'}
180	大棒			春晚
180	{'掏', '喘息', '大棒'}		{'春晚'}
181	捐钱			冰桶挑战
181	{'捐钱', '诗乐诗', '注渐'}		{'冰桶挑战'}
182	退出			爸爸去哪儿
182	{'grace', '退出', '姐姐'}		{'第二季', '爸爸去哪儿'}
183	求			情人节
183	{'交友', '小南', '求'}		{'情人节', '勾搭', '求'}
184	翰锅举			郑爽
184	{'手势', '翰锅举', '讲话'}		{'郑爽'}
185	任务			马航
185	{'搜救', '任务', '舰'}		{'失联', '马航', '飞机'}
186	直拍			马航
186	{'直拍', '安检', '首都国际机场'}		{'失联', '航班', '马航'}
187	中泰妍			我们
187	{'少时', '中泰妍', '无条件'}		{'金泰妍', '的', '我们'}
188	张庭			男
