行数	预测值			真实值
1	张艺兴			张艺兴
1	{'安全', '行星', '张艺兴'}		{'exo', '张艺兴'}
2	镐			李敏
2	{'20140118', '李敏', '镐'}		{'李敏', '镐'}
3	姐妹			陈学冬
3	{'姐妹', '杂志', '陈学冬'}		{'陈学冬'}
4	砍			王
4	{'故意', '医护人员', '砍'}		{'就医', '王', '牧笛'}
5	女儿			谢雨欣
5	{'谢雨欣', '女儿', '岁'}		{'女儿', '谢雨欣'}
6	排队			全智贤
6	{'排队', '见面会', '身份证'}		{'见面会', '全智贤', '粉丝'}
7	五年			庚澈
7	{'庚澈', 'cr', '五年'}		{'庚澈'}
8	舞台			winner
8	{'主打', '专辑', '舞台'}		{'winner'}
9	前女友			前女友
9	{'天敌', '前女友', '女人'}		{'前女友', '诱惑', '的'}
10	心			张翰
10	{'内地', '男演员', '心'}		{'张翰'}
11	璐			甜心
11	{'甜馨', '璐', '宝贝'}		{'比', '甜心', '小逗'}
12	一位			笑傲江湖
12	{'卫视', '的', '一位'}		{'笑傲江湖'}
13	疑似			马航
13	{'不会', '信号', '疑似'}		{'飞机', '马航', '失事'}
14	驾到			女王
14	{'纪录片', '自编', '驾到'}		{'之夜', '女王'}
15	时节			米歇尔
15	{'时节', '阳光明媚', '北京'}		{'米歇尔', '访华'}
16	暴露			姚笛
16	{'暴露', '告诉', '的'}		{'出', '滚', '姚笛'}
17	骂人			小彩旗
17	{'追星', '道歉', '骂人'}		{'请', '向', '小彩旗'}
18	不朽			爱奇艺
18	{'名曲', '爱奇艺', '不朽'}		{'爱奇艺', '红包', '让'}
19	姐姐			美拍
19	{'two', '爸爸', '姐姐'}		{'美拍'}
20	370			mh370
20	{'传统', '曾', '370'}		{'直播', '失联', 'mh370'}
21	风云榜			张艺兴
21	{'频道', '张艺兴', '风云榜'}		{'张艺兴'}
22	不好意思			美拍
22	{'mv', '不好意思', '美拍'}		{'美拍'}
23	贱人			crayonpop
23	{'团', '贱人', '百科'}		{'娱乐圈', '滚出', 'crayonpop'}
24	都敏俊			mh370
24	{'都敏俊', '路', 'xi'}		{'寻人', 'mh370'}
25	党			贝儿
25	{'曼萱', '党', 'fbi'}		{'feynman', '贝儿'}
26	一年			吴亦凡
26	{'一年', '盛夏', '吴亦凡'}		{'吴亦凡'}
27	花花			花儿与少年
27	{'同床', '秘密', '花花'}		{'花儿与少年'}
28	采访			李敏镐
28	{'细节', '采访', '间隙'}		{'李敏镐'}
29	湖北省			东星
29	{'证据', '湖北省', '属实'}		{'兰世立', '东星', '集团'}
30	大海			爸爸
30	{'面前', '大海', '萌娃们'}		{'回来', '了', '爸爸'}
31	相			李娜
31	{'体会', '相', '卦'}		{'李娜'}
32	舌尖			舌尖上的中国
32	{'超', '舌尖', '几天'}		{'第二季', '舌尖上的中国'}
33	朴有天			朴有天
33	{'回', '最起码', '朴有天'}		{'朴有天'}
34	男主			奥斯卡
34	{'情', '男配', '男主'}		{'奥斯卡'}
35	女孩子			大胡子
35	{'方法', '女孩子', '教'}		{'女孩', '大胡子'}
36	年初			东莞
