行数	预测值			真实值
1	张艺兴			张艺兴
1	{'张艺兴', '长沙', 'exo'}		{'张艺兴', 'exo'}
2	镐			李敏
2	{'镐', '李敏', '20140118'}		{'镐', '李敏'}
3	姐妹			陈学冬
3	{'杂志', '姐妹', '茜茜'}		{'陈学冬'}
4	砍			王
4	{'医护人员', '有没有', '砍'}		{'牧笛', '就医', '王'}
5	美女			谢雨欣
5	{'有木有', '美女', '觉得'}		{'谢雨欣', '女儿'}
6	排队			全智贤
6	{'排队', '身份证', '亲亲'}		{'全智贤', '见面会', '粉丝'}
7	五年			庚澈
7	{'推延', '五年', '一次'}		{'庚澈'}
8	专辑			winner
8	{'曲', '专辑', '主打'}		{'winner'}
9	前女友			前女友
9	{'女人', '天敌', '前女友'}		{'诱惑', '的', '前女友'}
10	内地			张翰
10	{'男演员', '张翰', '内地'}		{'张翰'}
11	璐			甜心
11	{'动态图', '璐', '甜馨'}		{'甜心', '比', '小逗'}
12	一位			笑傲江湖
12	{'卫视', '一位', '东方'}		{'笑傲江湖'}
13	疑似			马航
13	{'疑似', '中方', '信号'}		{'马航', '飞机', '失事'}
14	驾到			女王
14	{'王之王', '自编', '驾到'}		{'之夜', '女王'}
15	时节			米歇尔
15	{'时节', '阳光明媚', '仲春'}		{'访华', '米歇尔'}
16	的			姚笛
16	{'告诉', '的', '大家'}		{'出', '滚', '姚笛'}
17	骂人			小彩旗
17	{'追星', '道歉', '骂人'}		{'请', '小彩旗', '向'}
18	不朽			爱奇艺
18	{'名曲', '爱奇艺', '不朽'}		{'爱奇艺', '红包', '让'}
19	姐姐			美拍
19	{'姐姐', '大', '希望'}		{'美拍'}
20	曾			mh370
20	{'去年', '本报记者', '曾'}		{'失联', '直播', 'mh370'}
21	风云榜			张艺兴
21	{'风云榜', '张艺兴', '播出'}		{'张艺兴'}
22	不好意思			美拍
22	{'mv', '拍', '不好意思'}		{'美拍'}
23	贱人			crayonpop
23	{'团', '贱人', '好奇'}		{'滚出', '娱乐圈', 'crayonpop'}
24	xi			mh370
24	{'xi', '都敏俊', '找到'}		{'mh370', '寻人'}
25	曼萱			贝儿
25	{'党', '曼萱', 'fbi'}		{'feynman', '贝儿'}
26	一年			吴亦凡
26	{'一年', '吴亦凡', '盛夏'}		{'吴亦凡'}
27	花花			花儿与少年
27	{'同床', '花花', '别人'}		{'花儿与少年'}
28	采访			李敏镐
28	{'细节', '采访', '间隙'}		{'李敏镐'}
29	湖北省			东星
29	{'属实', '证据', '湖北省'}		{'兰世立', '集团', '东星'}
30	大海			爸爸
30	{'面前', '大海', '萌娃们'}		{'了', '回来', '爸爸'}
31	相			李娜
31	{'卦', '人', '相'}		{'李娜'}
32	舌尖			舌尖上的中国
32	{'几天', '超', '舌尖'}		{'第二季', '舌尖上的中国'}
33	朴有天			朴有天
33	{'最起码', '140614', '朴有天'}		{'朴有天'}
34	男主			奥斯卡
34	{'男主', '今年', '表演奖'}		{'奥斯卡'}
35	女孩子			大胡子
35	{'女孩子', '方法', '教'}		{'女孩', '大胡子'}
36	年初			东莞
36	{'刚刚开始', '年初', '失业'}		{'东莞', '挺住'}
37	古灵精怪			爸爸去哪儿
37	{'天生', '贝儿', '古灵精怪'}		{'爸爸去哪儿'}
38	烤鸭			四六级
38	{'烤鸭', '学校', '奈何'}		{'四六级', '成绩'}
39	波			黄海波
39	{'上', '波', '烂货'}		{'嫖娼', '被', '黄海波'}
40	为啥			音频
40	{'老妖', '为啥', '头像'}		{'音频', '怪物'}
41	像是			利特
41	{'像是', '觉得', '血缘关系'}		{'加油', '利特'}
42	ace			宋智孝
42	{'gary', 'ace', '的'}		{'宋智孝', '0815', '生日快乐'}
43	改变			新闻联播
43	{'做', '改变', '的'}		{'新闻联播'}
44	画			李娜
44	{'画', '准备', '捧杯'}		{'李娜', '冲冠', '澳网'}
45	好身材			朴春
45	{'好身材', '学习', '才'}		{'加油', '朴春'}
46	心动			唐嫣
46	{'飞仙', '心动', 'gif'}		{'唐嫣'}
47	艺术			武松
47	{'艺术', '配图', '一座'}		{'杀嫂', '武松'}
48	家			为
48	{'三只', '家', '打开'}		{'为', '中考', '王俊凯'}
49	航班			马航
49	{'航班', '失联', '称'}		{'马航', '失联', '客机'}
50	身份			祝何
50	{'身份', '版权', '路'}		{'老师', '生日快乐', '祝何'}
51	人们			霍建华
51	{'人们', '刷', '真是'}		{'公布', '胡歌', '霍建华'}
52	期			棒子
52	{'期', '含', '近'}		{'棒子', '导演', '滚'}
53	曹格			美拍
53	{'mv', '拍', '曹格'}		{'美拍'}
54	很多			黄子韬
54	{'很多', '愿意', '小伙伴'}		{'黄子韬'}
55	刘诗诗			绣春刀
55	{'王千源', '李东学', '刘诗诗'}		{'来袭', '绣春刀', '87'}
56	的			中国好舞蹈
56	{'来自', '脸上', '的'}		{'中国好舞蹈'}
57	笔笔			微视
57	{'笔笔', '看见', '笑笑'}		{'就', '微视', '本来'}
58	演			张俪
58	{'演', '有点', '估计'}		{'王阳明', '在', '张俪'}
59	源源			为
59	{'走', '源源', '不'}		{'为', '中考', '王俊凯'}
60	刷屏			李敏镐
60	{'李敏镐', '何止', '刷屏'}		{'李敏镐', '来莞'}
61	5			每日
61	{'日', '月', '5'}		{'早', '每日', '票房'}
62	俩			江苏
62	{'俩', '表妹', '人'}		{'江苏', '卫视', '金玉良缘'}
63	变态			亚洲
63	{'变态', '伤人', '他妈的'}		{'最丑', '亚洲', '明星'}
64	亦			男神
64	{'top6', '亦', '凡'}		{'终于', '男神', '笑'}
65	过半			我是歌手
65	{'进行', '过半', '事'}		{'我是歌手'}
66	亲吻			李钟硕
66	{'李钟硕', '亲吻', '时金宇彬'}		{'李钟硕', '金宇彬', '在'}
67	局			马航
67	{'科工', '局', '国防'}		{'马航', '飞机', '失联'}
68	甜心			爸爸
68	{'甜心', '搀扶', '看小'}		{'了', '回来', '爸爸'}
69	一件			张翰
69	{'本来', '一件', '放假'}		{'好好', '张翰', '郑爽'}
70	机师			吴镇宇
70	{'look', '机师'}		{'吴镇宇'}
71	第一个			直通
71	{'李代沫', 'demon', '第一个'}		{'春晚', '直通'}
72	魔			周杰伦
72	{'世界', '天伦', '魔'}		{'演唱会', '上海', '周杰伦'}
73	21			张力尹
73	{'分', '21', '15'}		{'之', '张力尹', '不朽'}
74	海带			牛奶
74	{'自信', '海带', '一条'}		{'牛奶', '香蕉'}
75	独立			克里米亚
75	{'闹', '独立', '当年'}		{'克里米亚', '公投'}
76	政治			祈福
76	{'政治', '理由', '少'}		{'昆明', '祈福'}
77	大年初一			爸爸去哪儿
