行数	预测值			真实值
1	张艺兴			张艺兴
1	{'exo', '张艺兴', '行星'}		{'张艺兴', 'exo'}
2	这张			李敏
2	{'20140118', '这张', '飞'}		{'镐', '李敏'}
3	来自			陈学冬
3	{'姐妹', '陈学冬', '来自'}		{'陈学冬'}
4	砍			王
4	{'有没有', '不在乎', '砍'}		{'就医', '王', '牧笛'}
5	女儿			谢雨欣
5	{'岁', '谢雨欣', '女儿'}		{'谢雨欣', '女儿'}
6	直播			全智贤
6	{'亲亲', '见面会', '直播'}		{'粉丝', '全智贤', '见面会'}
7	cr			庚澈
7	{'以为', 'cr', '五年'}		{'庚澈'}
8	舞台			winner
8	{'舞台', '专辑', '公开'}		{'winner'}
9	女人			前女友
9	{'天敌', '女人', '前女友'}		{'的', '诱惑', '前女友'}
10	张翰			张翰
10	{'张翰', '内地', '心'}		{'张翰'}
11	璐			甜心
11	{'动态图', '宝贝', '璐'}		{'甜心', '小逗', '比'}
12	今晚			笑傲江湖
12	{'东方', '今晚', '一位'}		{'笑傲江湖'}
13	中方			马航
13	{'疑似', '中方', '信号'}		{'马航', '失事', '飞机'}
14	伊能静			女王
14	{'驾到', '女', '伊能静'}		{'女王', '之夜'}
15	仲春			米歇尔
15	{'仲春', '时节', '阳光明媚'}		{'米歇尔', '访华'}
16	事情			姚笛
16	{'事情', '告诉', '想'}		{'滚', '出', '姚笛'}
17	图不说			小彩旗
17	{'有个度', '追星', '图不说'}		{'小彩旗', '向', '请'}
18	非常			爱奇艺
18	{'不朽', '非常', '名曲'}		{'红包', '让', '爱奇艺'}
19	姐姐			美拍
19	{'姐姐', '爸爸', 'two'}		{'美拍'}
20	去年			mh370
20	{'飞机', '370', '去年'}		{'mh370', '直播', '失联'}
21	17			张艺兴
21	{'17', '20140419', '张艺兴'}		{'张艺兴'}
22	mv			美拍
22	{'看看', 'mv', '不好意思'}		{'美拍'}
23	好奇			crayonpop
23	{'好奇', '贱人', '百科'}		{'娱乐圈', 'crayonpop', '滚出'}
24	路			mh370
24	{'找到', 'xi', '路'}		{'mh370', '寻人'}
25	跳			贝儿
25	{'党', '曼萱', '跳'}		{'贝儿', 'feynman'}
26	一年			吴亦凡
26	{'20130614062306260628', '盛夏', '一年'}		{'吴亦凡'}
27	同床			花儿与少年
27	{'同床', '花花', '别人'}		{'花儿与少年'}
28	细节			李敏镐
28	{'细节', '间隙', '采访'}		{'李敏镐'}
29	湖北省			东星
29	{'提供', '证据', '湖北省'}		{'集团', '兰世立', '东星'}
30	壮阔			爸爸
30	{'大海', '壮阔', '眼神'}		{'爸爸', '了', '回来'}
31	相			李娜
31	{'相', '可能', '伪君子'}		{'李娜'}
32	舌尖			舌尖上的中国
32	{'超', '心情', '舌尖'}		{'舌尖上的中国', '第二季'}
33	140614			朴有天
33	{'朴有天', '回', '140614'}		{'朴有天'}
34	今年			奥斯卡
34	{'今年', '男配', '男主'}		{'奥斯卡'}
35	懂			大胡子
35	{'女孩子', '娇气', '懂'}		{'女孩', '大胡子'}
36	刚刚开始			东莞
36	{'即来', '失业', '刚刚开始'}		{'东莞', '挺住'}
37	古灵精怪			爸爸去哪儿
37	{'天生', '古灵精怪', '贝儿'}		{'爸爸去哪儿'}
38	才能			四六级
38	{'才能', '非', '四级'}		{'四六级', '成绩'}
39	波			黄海波
39	{'波', '上', '烂货'}		{'黄海波', '嫖娼', '被'}
40	头像			音频
40	{'为啥', '头像', '蠢'}		{'怪物', '音频'}
41	利特			利特
41	{'利特', '兄弟', '像是'}		{'利特', '加油'}
42	ace			宋智孝
42	{'ace', '组成', '先生'}		{'0815', '生日快乐', '宋智孝'}
43	改变			新闻联播
43	{'做', '改变', '节目'}		{'新闻联播'}
44	画			李娜
44	{'画', '捧杯', '准备'}		{'李娜', '冲冠', '澳网'}
45	学习			朴春
45	{'好身材', '学习', '才'}		{'加油', '朴春'}
46	心动			唐嫣
46	{'心动', 'gif', '一剑'}		{'唐嫣'}
47	一座			武松
47	{'艺术', '一座', '本来'}		{'杀嫂', '武松'}
48	打开			为
48	{'家', '微博', '打开'}		{'王俊凯', '中考', '为'}
49	航班			马航
49	{'乘客', '航班', '央视'}		{'马航', '客机', '失联'}
50	路			祝何
50	{'人', '身份', '路'}		{'祝何', '生日快乐', '老师'}
51	gan			霍建华
51	{'gan', '人们', '丧'}		{'胡歌', '霍建华', '公布'}
52	期			棒子
52	{'期', '含', '近'}		{'棒子', '滚', '导演'}
53	美拍			美拍
53	{'美拍', '曹格', '点此'}		{'美拍'}
54	韬			黄子韬
54	{'韬', '小伙伴', '很多'}		{'黄子韬'}
55	刘诗诗			绣春刀
55	{'刘诗诗', '工作室', '王千源'}		{'87', '绣春刀', '来袭'}
56	来自			中国好舞蹈
56	{'的', '保持', '来自'}		{'中国好舞蹈'}
57	看见			微视
57	{'看见', '查看', '微视'}		{'就', '本来', '微视'}
58	有点			张俪
58	{'有点', '挺配', '估计'}		{'张俪', '在', '王阳明'}
59	源源			为
59	{'走', '不要', '源源'}		{'王俊凯', '中考', '为'}
60	节奏			李敏镐
60	{'广告', '节奏', '何止'}		{'来莞', '李敏镐'}
61	万			每日
61	{'亿', '累计', '万'}		{'早', '每日', '票房'}
62	俩			江苏
62	{'表哥', '俩', '麒麟'}		{'金玉良缘', '卫视', '江苏'}
63	他妈的			亚洲
63	{'肤浅', '他妈的', '变态'}		{'亚洲', '明星', '最丑'}
64	不住			男神
64	{'hold', '笑容', '不住'}		{'男神', '笑', '终于'}
65	常规赛			我是歌手
65	{'常规赛', '进行', '过半'}		{'我是歌手'}
66	心里			李钟硕
66	{'心里', '亲吻', '表情'}		{'金宇彬', '在', '李钟硕'}
67	局			马航
67	{'国防', '局', '科工'}		{'马航', '飞机', '失联'}
68	一枚			爸爸
68	{'样子', '一枚', '奋力'}		{'爸爸', '了', '回来'}
69	本来			张翰
69	{'一件', '本来', '放假'}		{'张翰', '郑爽', '好好'}
70	机师			吴镇宇
70	{'机师', 'look'}		{'吴镇宇'}
71	李代沫			直通
71	{'第一个', '李代沫', '人品'}		{'直通', '春晚'}
72	魔			周杰伦
72	{'魔', '周杰伦', '演唱'}		{'上海', '周杰伦', '演唱会'}
73	不见不散			张力尹
73	{'东方', '不见不散', '15'}		{'张力尹', '之', '不朽'}
74	一条			牛奶
74	{'一条', '你好', '海带'}		{'香蕉', '牛奶'}
75	当年			克里米亚
75	{'闹', '当年', '独立'}		{'公投', '克里米亚'}
76	无法			祈福
76	{'原谅', '别扯', '无法'}		{'祈福', '昆明'}
77	爸爸去哪儿			爸爸去哪儿
77	{'电影', '爸爸去哪儿', '大年初一'}		{'电影', '大', '爸爸去哪儿'}
78	当天			拒绝
78	{'炒作', '这种', '当天'}		{'拒绝', '谢娜', '拿'}
79	非常			马航
79	{'mh370', '结论', '非常'}		{'马航', '失事', '飞机'}
80	温暖			新
80	{'温暖', '新鲜', '回忆'}		{'的', '梁博', '新'}
81	张艺兴			张艺兴
81	{'车', '张艺兴', '小心'}		{'张艺兴'}
82	jj			金曲
82	{'jj', '庆祝', '抽奖'}		{'金曲', '歌王', '林俊杰'}
83	30			马航
83	{'分钟', '飞机', '30'}		{'马航', '飞机', '失联'}
84	解释			马航
84	{'本次', '推理', '解释'}		{'马航', '失事', '飞机'}
85	晚安			王源
85	{'君子', '晚安', '世'}		{'王源'}
86	最美			张艺兴
86	{'时光', '里', '最美'}		{'张艺兴'}
87	多人			小
87	{'多人', '互联网', '真的'}		{'小', '李不哭'}
88	电视剧			陈思诚
88	{'中', '三', '电视剧'}		{'佟丽娅', '陈思诚', '结婚'}
89	此生			思诚
89	{'丫丫', '此生', '善良'}		{'疯爱', '丫丫', '思诚'}
90	二楼			郑秀晶
90	{'二楼', '机场', '接机'}		{'郑秀晶'}
91	一菲			葫芦娃
91	{'一菲', '原来', '娄艺潇'}		{'拍', '葫芦娃', '电视剧'}
92	qq			时间煮雨
92	{'播放', '榜', 'qq'}		{'时间煮雨', '吴亦凡'}
93	短			索契
93	{'短', '大战', '节目'}		{'索契', '冬奥会'}
94	三月份			昆明
94	{'三月份', '想着', '丽江'}		{'昆明'}
95	够			杉杉
95	{'张翰', '君', '够'}		{'来', '了', '杉杉'}
96	天上			祈福
96	{'人', '如同', '天上'}		{'马航', '祈福'}
97	力			neinei
97	{'爸比', '力', '杀手锏'}		{'爸爸', 'neinei', '回来'}
98	我娃			穆勒
98	{'国家队', '我娃', '比赛'}		{'棒棒', '穆勒', '哒'}
99	刷			棒子
99	{'恶心', '一发', '刷'}		{'棒子', '滚', '导演'}
100	文章			文章
100	{'文章', '之后', '猜'}		{'文章', '开房', '姚笛'}
101	鱼塘			这个
101	{'承包', '原来', '鱼塘'}		{'被', '这个', '鱼塘'}
102	潮州			潮州
102	{'头条', '写', '潮州'}		{'大劳热', '潮州'}
103	认真			张嘉译
103	{'低调', '认真', '拍戏'}		{'张嘉译'}
104	夫妇			尼坤
104	{'夫妇', '维尼', '无数次'}		{'尼坤', 'tiffany', '恋爱'}
105	相信			赵丽颖
105	{'分享', '相信'}		{'赵丽颖'}
106	甜甜			黄子韬
106	{'满分', '笑容', '甜甜'}		{'黄子韬'}
107	我是歌手			我是歌手
107	{'八点', 'luoqi', '我是歌手'}		{'我是歌手'}
108	拉			李敏镐
108	{'以后', '拉', '四岁'}		{'622', '生日快乐', '李敏镐'}
109	担心			陈一冰
109	{'妈妈', '担心', '不用'}		{'结婚', '陈一冰'}
110	二千			花儿与少年
110	{'女神', 'vs', '二千'}		{'花儿与少年'}
111	变			来自星星的你
111	{'吓坏', '变', '样子'}		{'来自星星的你'}
112	恩			林心如
112	{'恩', '陌上', '满城风雨'}		{'0127', '林心如', '生日快乐'}
113	今天			早安
113	{'农历', '吃', '今天'}		{'早安'}
114	女儿			后会无期
114	{'卖', '女儿', '宣传'}		{'后会无期'}
115	m			鹿晗
115	{'一闪', '鹿', 'm'}		{'鹿晗', '0420', '生日快乐'}
116	新浪			人间
116	{'新浪', '讯', '娱乐'}		{'人间', '价值连城', '四月'}
117	消息			马航
117	{'岁', '来自', '消息'}		{'被', '马航', 'mh17'}
118	张艺谋			大师
118	{'归来', '作品', '张艺谋'}		{'归来', '之众', '大师'}
119	野蛮			东莞
119	{'这种', '总', '野蛮'}		{'东莞', '丐帮'}
120	点评			朴海镇
120	{'未来', '点评', '我会'}		{'0501', '生日快乐', '朴海镇'}
121	香港			人间
121	{'香港', '人间', '导演'}		{'小', '人间', '团圆'}
122	微笑			王力宏
122	{'微笑', '找到', '终点'}		{'王力宏', '生日快乐', '517'}
123	位			沙漠
123	{'大伙', '位', '多重'}		{'孙俪', '沙漠', '女尸'}
124	宝藏			夺宝奇兵
124	{'肯定', '杨阳洋', '宝藏'}		{'夺宝奇兵', '杨阳洋'}
125	吸毒			柯震东
125	{'120', '艺人', '吸毒'}		{'柯震东', '房祖名', '吸毒'}
126	卖			自贡
126	{'钱', '卖', '甘蔗'}		{'西施', '甘蔗', '自贡'}
127	女			首尔
127	{'神经', '娃', '女'}		{'大学', '女神', '首尔'}
128	吴镇宇			坑娃
128	{'吴镇宇', '原来', '20090709'}		{'神爹', '吴镇宇', '坑娃'}
129	也许			郭采洁
129	{'身边', '回到', '也许'}		{'正', '郭采洁', '能量'}
130	开心			爸爸去哪儿
130	{'第一', '姐姐', '开心'}		{'爸爸去哪儿'}
131	掐			一
131	{'掐', '洗困', '出水'}		{'又', '二分之一', '一'}
132	想到			最美
132	{'素颜', '想到', '一下'}		{'女神', '最美', '素颜'}
133	也许			吴奇隆
133	{'走', '般配', '也许'}		{'幸福', '刘诗诗', '吴奇隆'}
134	前任攻略			让
134	{'大家', '西安', '前任攻略'}		{'排片', '让', '前任攻略'}
135	刷屏			马航
135	{'不断', '刷屏', '终于'}		{'马航', '飞机', '失联'}
136	完全			萧敬腾
136	{'结束', '当然', '完全'}		{'萧敬腾'}
137	海巡			马航
137	{'疑似', '01', '海巡'}		{'马航', '失事', '飞机'}
138	我是歌手			我是歌手
138	{'音乐', 'qq', '我是歌手'}		{'我是歌手'}
139	操			这个
139	{'操', '沙尘暴', '猪'}		{'有点', '杀手', '这个'}
140	couple			晶茜
140	{'couple', '动作', '窃窃私语'}		{'晶茜'}
141	看过			黄子韬
141	{'空间', '看过', '阿吊炸天'}		{'黄子韬'}
142	能够			宋智孝
142	{'肯定', '能够', '还好'}		{'0815', '生日快乐', '宋智孝'}
143	刘烨			花样爷爷
143	{'谢娜', '刘烨', '土炮'}		{'花样爷爷'}
144	首播			最强
144	{'少女时代', '首播', '822'}		{'天团', '最强'}
145	七夕			我
145	{'遇见', '七夕', '准备'}		{'我', '不知', '会'}
146	湖南卫视			爸爸去哪儿
146	{'湖南卫视', '重磅', '童鞋'}		{'之夜', '爸爸', '爸爸去哪儿'}
147	亿			澳门
147	{'亿', '票房', '内地'}		{'风云', '澳门'}
148	爸爸去哪儿			爸爸去哪儿
148	{'喜欢', '小伙伴', '爸爸去哪儿'}		{'爸爸去哪儿'}
149	东莞			东莞
149	{'东莞', '无情', '央视'}		{'东莞', '挺住'}
150	好看			爸爸去哪儿
150	{'超级', '一万个', '好看'}		{'电影', '大', '爸爸去哪儿'}
151	陆毅			守护
151	{'陆毅', '到处', '大神'}		{'贝儿', '健康成长', '守护'}
152	北京			祈福
152	{'3', '北京', '时间'}		{'马航', '祈福'}
153	火火			小苹果
153	{'火火', '停不下来', '根本'}		{'小苹果'}
154	吸毒			柯震东
154	{'现在', '网络', '吸毒'}		{'柯震东', '房祖名', '吸毒'}
155	crlogo			朴有天
155	{'看', 'crlogo'}		{'快乐大本营', '朴有天'}
156	黄章			带
156	{'黄章', '日', '微博'}		{'带', '黄章', '玩'}
157	一本			2014
157	{'文史类', '一本', '理工类'}		{'高考', '2014'}
158	一部			onenight
158	{'温暖', '一部', 'onenight'}		{'晚会', '公益', 'onenight'}
159	澳			马航
159	{'军舰', '准备', '澳'}		{'马航', '失事', '飞机'}
160	1990			马航
160	{'这次', '1990', '发生'}		{'马航', '飞机', '失联'}
161	传媒			霍建华
161	{'出品', '传媒', '赵丽颖'}		{'明星', '霍建华', '微'}
162	120			房祖名
162	{'他供', '出处', '120'}		{'被', '房祖名', '吸毒'}
163	可能			高凌风
163	{'一段', '生前', '可能'}		{'去世', '高凌风'}
164	大家			张力尹
164	{'sm', '公司', '大家'}		{'张力尹'}
165	活着			金素妍
165	{'出生', '活着', '得到'}		{'金素妍'}
166	转			叫兽
166	{'绝对', '都敏俊', '转'}		{'假', '叫兽'}
167	卑微			恒远
167	{'荣耀', '恒远', '卑微'}		{'恒星', '祈福', '恒远'}
168	俊秀			apo
168	{'环节', '一次', '俊秀'}		{'直播', '金俊秀', 'apo'}
169	汤唯			汤唯
169	{'汤唯', '金泰', '韩国'}		{'汤唯', '婚讯', '公布'}
170	开播			李敏镐
170	{'主播', '开播', '1978'}		{'新闻联播', '李敏镐'}
171	说好			抄
171	{'的', '到底', '说好'}		{'抄', '灭', '家伙'}
172	看吧			潮州
172	{'的', '照片', '看吧'}		{'大劳热', '潮州'}
173	结婚			前任攻略
173	{'十四年', '结婚', '信'}		{'前任攻略'}
174	女儿			戚薇
174	{'女儿', '心情', '嫁'}		{'戚薇'}
175	找			春晚
175	{'时间', '这种', '找'}		{'春晚', '镜头', '穿帮'}
176	祈福			马航
176	{'祈福', '穿越', '回来'}		{'马航', '班机', '失联'}
177	偷拍			周一
177	{'仔', '偷拍', '人人'}		{'见', '周一'}
178	重庆			张亮
178	{'送机', '机场', '重庆'}		{'张亮', 'sean'}
179	决赛			李娜
179	{'拉德', '卡', '决赛'}		{'李娜', '冲冠', '澳网'}
180	无法			春晚
180	{'yif', '直视', '无法'}		{'春晚'}
181	快			冰桶挑战
181	{'看看', '快', '最新'}		{'冰桶挑战'}
182	姐姐			爸爸去哪儿
182	{'姐姐', '第二季', '爸爸去哪儿'}		{'第二季', '爸爸去哪儿'}
183	求			情人节
183	{'不理', '新人', '求'}		{'勾搭', '情人节', '求'}
184	张翰			郑爽
184	{'张翰', '讲话', '郑爽'}		{'郑爽'}
185	记者			马航
185	{'任务', '记者', '搜救'}		{'马航', '飞机', '失联'}
186	加强			马航
186	{'安检', '加强', '明显'}		{'马航', '航班', '失联'}
187	守护			我们
187	{'少女时代', '最爱', '守护'}		{'我们', '的', '金泰妍'}
188	张庭			男
188	{'粉丝团', '张庭', '依依'}		{'媒婆', '男'}
189	破坏			东莞
189	{'央视', '破坏', '出来'}		{'东莞', '挺住'}
190	看看			冰桶挑战
190	{'看看', '拍', 'mv'}		{'美拍', '冰桶挑战'}
191	好看			尖椒
191	{'样子', '好看', 'crgobaek'}		{'引爆', '尖椒', '伯贤'}
192	女人			吴镇宇
192	{'抽烟', '女人', '钟情'}		{'吴镇宇'}
193	两集			吴奇隆
193	{'两集', '头', '剪'}		{'步步惊情', '吴奇隆'}
194	昨天			前任攻略
194	{'去', '韩庚', '昨天'}		{'让', '前任攻略'}
195	黄子韬			黄子韬
195	{'下去', 'behappyandbestrongwiztao', '黄子韬'}		{'黄子韬'}
196	夸			美拍
196	{'美拍', '夸', '妈妈'}		{'美拍'}
197	二萌			爸爸
197	{'现在', '二萌', '北京'}		{'爸爸', '了', '回来'}
198	烟火			电视剧
198	{'烟火', '寒江', '伴星'}		{'花千骨', '电视剧'}
199	明白			霍比特
199	{'21', '明白', '好像'}		{'人', '2', '霍比特'}
200	名字			姐姐
200	{'姐姐', '名字', '拜托'}		{'长大', '姐姐', 'grace'}
201	美国			搜寻
201	{'官员', '输入', '美国'}		{'马航', '搜寻', '370'}
202	放生			李小璐
202	{'放生', '一下', '海龟'}		{'放生', '李小璐'}
203	公司			叫兽
203	{'好友', '公司', '打算'}		{'假', '叫兽'}
204	见			吴奇隆
204	{'第一次', '三天', '见'}		{'步步惊情', '吴奇隆'}
205	情侣			花儿与少年
205	{'档吸', '情侣', '眼球'}		{'第二季', '花儿与少年'}
206	长沙			长沙
206	{'长沙', '看的上眼', '穷'}		{'长沙', '伍家岭', '砍'}
207	2014			让
207	{'2014', '今天', '年'}		{'红包', '让', '飞'}
208	广州			广州
208	{'地铁', '广州', '梁梓棋'}		{'地铁', '广州', '踩踏'}
209	问			有
209	{'再', '问', '玩'}		{'一种', '父亲', '有'}
210	哥哥			无
210	{'一发', '哥哥', '逍遥'}		{'不', '胡歌', '无'}
211	女生			春晚
211	{'女生', '出场', '李敏镐'}		{'春晚', '我', '看'}
212	滚回来			汪东城
212	{'再', '滚回来', '找'}		{'汪东城', '娱乐圈', '滚回'}
213	本人			小彩旗
213	{'本人', '帮', '见'}		{'小彩旗', '向', '请'}
214	5			搜狗
214	{'1', '白举纲', '5'}		{'白举纲', '携手', '搜狗'}
215	千言万语			戚哥
215	{'愿望', '千言万语', '嫁'}		{'戚哥', '嫁', '终于'}
216	成			十二道
216	{'成', '7', '日历'}		{'锋味', '十二道'}
217	热			胡歌
217	{'热', '综合', '搜榜'}		{'胡歌'}
218	久等			起风
218	{'完整版', '久等', '宫崎骏'}		{'了', '起风'}
219	亮相			巴黎
219	{'张辛苑', '亮相', '套装'}		{'时装周', '巴黎', '新浪'}
220	量			中国
220	{'明白', '量', '承认'}		{'中国', '最强大脑', '雨人'}
221	作品			李亚鹏
221	{'名气', '还要', '作品'}		{'回应', '举报', '李亚鹏'}
222	图片			马航
222	{'澳大利亚', '图片', '第一张'}		{'马航', '飞机', '失联'}
223	搜寻			马航
223	{'搜寻', '区', '面积'}		{'马航', '失事', '飞机'}
224	照片			舌尖
224	{'照片', '看到', '清新'}		{'的', '上', '舌尖'}
225	无限			来自星星的你
225	{'叫兽', '无限', 'bj'}		{'来自星星的你', '18'}
226	饼干			小冰
226	{'好吃', '饼干', '不同'}		{'复活', '小冰'}
227	林宥嘉			林宥嘉
227	{'曝光', '林宥嘉', '图片'}		{'林宥嘉', '入伍'}
